TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],HOST_s,KEY_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_gen,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",rel,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.core.somaxconn,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",4096,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,crypto_provider_version,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM","CommonCryptoLib 8.5.51 (Jun 22 2023) [AES-NI,CLMUL,SSE3,SSSE3]","4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_cloud_edition,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",0000.00.00,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_version,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",2.00.077.00.1713529394,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,topology_mem_type,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",shared,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu.cpufreq.scaling_govenor,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM","performance: 0, ondemand: 0, powersave: 48, other: 0","4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_port_unreserved_ranges,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",-,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,open_file_limit,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",20000000,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,daemon_active,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",yes,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,crypto_fips_version,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",none,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,crypto_provider,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",commoncrypto,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,mem_phys,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",1.02934E+12,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,kernel.transparent_hugepage.enabled,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",always madvise [never],"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,timezone_tz_name,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",-,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_model,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",Intel(R) Xeon(R) Platinum 8473C,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_hostnames,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM","vchadcha01l10c,chadcha01l10c,chachadb00cl","4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.ipv4.tcp_timestamps,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
